fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_points,efficiency
34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,4.864864864864865,0.17754981258630895
29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,4.861111111111111,0.18071045022717885
42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,14.23076923076923,0.9301156359979889
42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,10.175438596491228,0.8771929824561403
52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,10.666666666666666,0.9275362318840579
42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,20.27027027027027,1.7780938833570412
43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,9.393939393939394,0.8618293021962747
41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,8.421052631578947,0.8175779253960143
39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,27.083333333333336,2.7356902356902357
38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,11.35135135135135,1.3354531001589824
36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,15.217391304347828,2.2054190296156273
39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,11.11111111111111,1.658374792703151
47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,20.76923076923077,3.146853146853147
32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,8.035714285714286,0.5252100840336135
53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,18.333333333333336,2.8645833333333335
51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,15.384615384615383,2.5220680958385877
37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,23.333333333333332,4.40251572327044
34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,24.11764705882353,5.742296918767507
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,4.270833333333334,0.1148073476702509
49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,4.270833333333334,0.1148073476702509
52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,5.594405594405594,0.17816578326132465
48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,6.165413533834586,0.20214470602736348
